library_id	Time	Strain	Batch	R1	R2
RM-1_S408	12	mcherry	RM	/export/home/2592613b/mres-malaria-gene-expression/data/RM-1_S408_R1_001.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/RM-1_S408_R2_001.fastq.gz
RM-2_S409	2	mcherry	RM	/export/home/2592613b/mres-malaria-gene-expression/data/RM-2_S409_R1_001.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/RM-2_S409_R2_001.fastq.gz
RM-3_S410	4	mcherry	RM	/export/home/2592613b/mres-malaria-gene-expression/data/RM-3_S410_R1_001.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/RM-3_S410_R2_001.fastq.gz
RM-4_S411	6	mcherry	RM	/export/home/2592613b/mres-malaria-gene-expression/data/RM-4_S411_R1_001.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/RM-4_S411_R2_001.fastq.gz
RM-5_S412	24	mcherry	RM	/export/home/2592613b/mres-malaria-gene-expression/data/RM-5_S412_R1_001.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/RM-5_S412_R2_001.fastq.gz
RM-6_S413	12	mcherry	RM	/export/home/2592613b/mres-malaria-gene-expression/data/RM-6_S413_R1_001.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/RM-6_S413_R2_001.fastq.gz
RM-7_S414	24	mcherry	RM	/export/home/2592613b/mres-malaria-gene-expression/data/RM-7_S414_R1_001.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/RM-7_S414_R2_001.fastq.gz
RM-8_S415	24	mcherry	RM	/export/home/2592613b/mres-malaria-gene-expression/data/RM-8_S415_R1_001.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/RM-8_S415_R2_001.fastq.gz
RM-9_S416	24	mcherry	RM	/export/home/2592613b/mres-malaria-gene-expression/data/RM-9_S416_R1_001.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/RM-9_S416_R2_001.fastq.gz
F-1_SRR5260552	0	RFP	Other	/export/home/2592613b/mres-malaria-gene-expression/data/F-1_SRR5260552_1.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/F-1_SRR5260552_2.fastq.gz
F-2_SRR5260551	0	RFP	Other	/export/home/2592613b/mres-malaria-gene-expression/data/F-2_SRR5260551_1.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/F-2_SRR5260551_2.fastq.gz
F-3_SRR5260550	0	RFP	Other	/export/home/2592613b/mres-malaria-gene-expression/data/F-3_SRR5260550_1.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/F-3_SRR5260550_2.fastq.gz
F1_21725_8_4	0	RFP	Other	/export/home/2592613b/mres-malaria-gene-expression/data/F1_21725_8_4_1.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/F1_21725_8_4_2.fastq.gz
F2_21725_8_5	0	RFP	Other	/export/home/2592613b/mres-malaria-gene-expression/data/F2_21725_8_5_1.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/F2_21725_8_5_2.fastq.gz
F3_21725_8_6	0	RFP	Other	/export/home/2592613b/mres-malaria-gene-expression/data/F3_21725_8_6_1.fastq.gz	/export/home/2592613b/mres-malaria-gene-expression/data/F3_21725_8_6_2.fastq.gz
