gene_id	groups	description
PBANKA_1411000	1	conserved Plasmodium protein, unknown function
PBANKA_1411500	1	conserved Plasmodium protein, unknown function
PBANKA_1412300	1	ankyrin-repeat protein, putative
PBANKA_1415500	1	U4/U6.U5 tri-snRNP-associated protein 2, putative
PBANKA_1416700	1	glycerol-3-phosphate 1-O-acyltransferase
PBANKA_1416800	1	conserved Plasmodium protein, unknown function
PBANKA_1419900	1	cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative
PBANKA_1421261	1	tRNA Serine
PBANKA_1422300	1	FAD-dependent monooxygenase, putative
PBANKA_1429900	1	GPI ethanolamine phosphate transferase 3, putative
PBANKA_1430500	1	conserved protein, unknown function
PBANKA_1433300	1	conserved Plasmodium protein, unknown function
PBANKA_1433700	1	conserved Plasmodium protein, unknown function
PBANKA_1435300	1	pre-mRNA-processing factor 17, putative
PBANKA_1435900	1	conserved Plasmodium protein, unknown function
PBANKA_1437900	1	conserved Plasmodium protein, unknown function
PBANKA_1443600	1	conserved Plasmodium protein, unknown function
PBANKA_1445200	1	WD repeat-containing protein, putative
PBANKA_1450800	1	conserved Plasmodium protein, unknown function
PBANKA_1450900	1	conserved protein, unknown function
PBANKA_1452100	1	conserved Plasmodium protein, unknown function
PBANKA_1454300	1	vacuolar protein sorting-associated protein 16, putative
PBANKA_1457000	1	ubiquitin-conjugating enzyme E2, putative
PBANKA_1457300	1	glucose inhibited division protein a homologue, putative
PBANKA_1462500	1	leucine-rich repeat protein
PBANKA_1462600	1	conserved Plasmodium protein, unknown function
PBANKA_1464100	1	coronin
PBANKA_1464841	1	tRNA Valine
PBANKA_1465300	1	PIR protein, pseudogene
PBANKA_1466141	1	fam-a protein
PBANKA_API00270	1	probable protein, unknown function
PBANKA_API00320	1	probable protein, unknown function
PBANKA_API00330	1	apicoplast ribosomal protein S5
PBANKA_API00340	1	apicoplast ribosomal protein L6
PBANKA_API00370	1	apicoplast ribosomal protein S17
PBANKA_API00390	1	ribosomal protein S3, putative
PBANKA_API00430	1	50S ribosomal protein L4, putative
PBANKA_0008901	2	PIR protein, pseudogene
PBANKA_0104000	2	acylphosphatase, putative
PBANKA_0104100	2	serine/threonine protein kinase ARK1, putative
PBANKA_0104200	2	calcium-binding protein, putative
PBANKA_0107200	2	conserved Plasmodium protein, unknown function
PBANKA_0201100	2	PIR protein, pseudogene
PBANKA_0202700	2	kinesin-8B
PBANKA_0206300	2	centrin-1, putative
PBANKA_0206700	2	conserved Plasmodium protein, unknown function
PBANKA_0208900	2	StAR-related lipid transfer protein, putative
PBANKA_0210800	2	conserved Plasmodium protein, unknown function
PBANKA_0210900	2	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2, putative
PBANKA_0301300	2	conserved Plasmodium protein, unknown function
PBANKA_0302500	2	hexose transporter
PBANKA_0302900	2	MORN repeat protein, putative
PBANKA_0303000	2	conserved Plasmodium protein, unknown function
PBANKA_0304900	2	serine repeat antigen 3
PBANKA_0305100	2	serine repeat antigen 1
PBANKA_0306100	2	6-cysteine protein P230
PBANKA_0308800	2	GDP-fructose:GMP antiporter, putative
PBANKA_0310500	2	conserved Plasmodium protein, unknown function
PBANKA_0311800	2	acyl-CoA synthetase, putative
PBANKA_0313400	2	autophagy-related protein 11, putative
PBANKA_0313900	2	conserved Plasmodium protein, unknown function
PBANKA_0316900	2	PIR protein
PBANKA_0317061	2	fam-a protein
PBANKA_0317181	2	PIR protein
PBANKA_0400100	2	PIR protein
PBANKA_0400500	2	PIR protein
PBANKA_0400600	2	PIR protein
PBANKA_0402100	2	spindle pole body protein, putative
PBANKA_0404400	2	cytochrome b-c1 complex subunit 8, putative
PBANKA_0405600	2	microtubule-associated protein RP/EB family, putative
PBANKA_0406200	2	conserved Plasmodium protein, unknown function
PBANKA_0406300	2	DNA polymerase delta small subunit, putative
PBANKA_0406600	2	conserved Plasmodium protein, unknown function
PBANKA_0407700	2	60S acidic ribosomal protein P2, putative
PBANKA_0407900	2	YTH domain-containing protein 2, putative
PBANKA_0411300	2	conserved Plasmodium protein, unknown function
PBANKA_0412100	2	serine/threonine protein phosphatase 6
PBANKA_0412200	2	conserved Plasmodium protein, unknown function
PBANKA_0413000	2	conserved Plasmodium protein, unknown function
PBANKA_0413400	2	zinc finger protein, putative
PBANKA_0415000	2	Maf-like protein, putative
PBANKA_0416100	2	dynein heavy chain, putative
PBANKA_0504300	2	flagellar outer arm dynein-associated protein, putative
PBANKA_0504800	2	conserved Plasmodium protein, unknown function
PBANKA_0505400	2	conserved Plasmodium protein, unknown function
PBANKA_0507700	2	conserved Plasmodium protein, unknown function
PBANKA_0507800	2	conserved protein, unknown function
PBANKA_0507900	2	conserved Plasmodium protein, unknown function
PBANKA_0510600	2	cell division cycle protein 20 homolog
PBANKA_0511800	2	centrin-3, putative
PBANKA_0512800	2	merozoite TRAP-like protein
PBANKA_0516300	2	DER1-like protein, putative
PBANKA_0519100	2	conserved Plasmodium protein, unknown function
PBANKA_0519200	2	conserved Plasmodium protein, unknown function
PBANKA_0522100	2	conserved Plasmodium protein, unknown function
PBANKA_0522700	2	alpha tubulin 2
PBANKA_0523800	2	apical asparagine-rich protein AARP, putative
PBANKA_0524200	2	early transcribed membrane protein
PBANKA_0524300	2	tryptophan-rich protein
PBANKA_0600011	2	PIR protein
PBANKA_0600031	2	PIR protein
PBANKA_0600086	2	PIR protein
PBANKA_0600200	2	PIR protein
PBANKA_0600900	2	conserved protein, unknown function
PBANKA_0601900	2	high mobility group protein B1, putative
PBANKA_0602900	2	conserved Plasmodium protein, unknown function
PBANKA_0604300	2	tetratricopeptide repeat protein, putative
PBANKA_0609900	2	heat shock protein DNAJ homologue Pfj4, putative
PBANKA_0610200	2	DNA replication licensing factor MCM5, putative
PBANKA_0610700	2	conserved Plasmodium protein, unknown function
PBANKA_0610900	2	HSP40, subfamily A, putative
PBANKA_0618300	2	Ham1-like protein, putative
PBANKA_0622000	2	conserved Plasmodium protein, unknown function
PBANKA_0700061	2	PIR protein
PBANKA_0700071	2	PIR protein
PBANKA_0705500	2	ankyrin-repeat protein, putative
PBANKA_0711000	2	conserved Plasmodium protein, unknown function
PBANKA_0712100	2	DNA helicase, putative
PBANKA_0716500	2	RNA-binding protein, putative
PBANKA_0718800	2	small GTP-binding protein sar1, putative
PBANKA_0720800	2	RNA-binding protein NOB1, putative
PBANKA_0800200	2	fam-a protein, pseudogene
PBANKA_0801500	2	conserved Plasmodium protein, unknown function
PBANKA_0805600	2	EKC/KEOPS complex subunit BUD32, putative
PBANKA_0806800	2	coiled-coil domain-containing protein CCDC148/CCDC112, putative
PBANKA_0808600	2	conserved Plasmodium protein, unknown function
PBANKA_0809000	2	translation initiation factor SUI1, putative
PBANKA_0813700	2	conserved Plasmodium protein, unknown function
PBANKA_0816100	2	SUMO-conjugating enzyme UBC9, putative
PBANKA_0816200	2	ribonuclease H2 subunit C, putative
PBANKA_0819450	2	telomerase RNA
PBANKA_0822900	2	dynein intermediate chain, putative
PBANKA_0824600	2	conserved protein, unknown function
PBANKA_0824700	2	thioredoxin reductase, putative
PBANKA_0825800	2	conserved Plasmodium protein, unknown function
PBANKA_0828300	2	dynein light chain, putative
PBANKA_0828900	2	conserved Plasmodium protein, unknown function
PBANKA_0829200	2	conserved protein, unknown function
PBANKA_0829500	2	conserved Plasmodium protein, unknown function
PBANKA_0831000	2	merozoite surface protein 1
PBANKA_0832700	2	adenylate kinase-like protein 2, putative
PBANKA_0833700	2	conserved Plasmodium protein, unknown function
PBANKA_0835300	2	V-type proton ATPase subunit E, putative
PBANKA_0835600	2	cAMP-dependent protein kinase catalytic subunit, putative
PBANKA_0836900	2	PIR protein
PBANKA_0837061	2	tryptophan-rich protein, fragment
PBANKA_0837101	2	PIR protein
PBANKA_0902000	2	dynein light chain, putative
PBANKA_0902400	2	kinesin-X4, putative
PBANKA_0904900	2	mitochondrial large subunit ribosomal protein, putative
PBANKA_0905500	2	conserved Plasmodium protein, unknown function
PBANKA_0908800	2	conserved Plasmodium protein, unknown function
PBANKA_0911000	2	calcium-binding protein, putative
PBANKA_0911100	2	conserved Plasmodium protein, unknown function
PBANKA_0912400	2	conserved Plasmodium protein, unknown function
PBANKA_0915000	2	apical membrane antigen 1
PBANKA_0920700	2	conserved Plasmodium protein, unknown function
PBANKA_0921300	2	deoxyuridine 5'-triphosphate nucleotidohydrolase, putative
PBANKA_0925400	2	dynein heavy chain, putative
PBANKA_0926700	2	exported protein 1
PBANKA_0927700	2	DDRGK domain-containing protein, putative
PBANKA_0931700	2	peptidyl-prolyl cis-trans isomerase, putative
PBANKA_0933600	2	dynein light chain Tctex-type, putative
PBANKA_0934700	2	conserved protein, unknown function
PBANKA_0934900	2	conserved Plasmodium protein, unknown function
PBANKA_0935400	2	ubiquinone biosynthesis protein COQ4, putative
PBANKA_0936500	2	replication factor C subunit 5, putative
PBANKA_0936800	2	conserved Plasmodium protein, unknown function
PBANKA_0936900	2	actin-like protein, putative
PBANKA_0939900	2	U6 snRNA-associated Sm-like protein LSm4, putative
PBANKA_0941200	2	tRNA-splicing ligase RtcB, putative
PBANKA_0941400	2	centrin-4
PBANKA_0942300	2	radial spoke head protein, putative
PBANKA_0942400	2	WD repeat-containing protein, putative
PBANKA_0943000	2	RIIa domain-containing protein, putative
PBANKA_0943600	2	60S acidic ribosomal protein P1, putative
PBANKA_1000600	2	erythrocyte membrane antigen 1
PBANKA_1002400	2	dipeptidyl aminopeptidase 3, putative
PBANKA_1002600	2	6-cysteine protein P41, putative
PBANKA_1002900	2	ag-1 blood stage membrane protein homologue
PBANKA_1006100	2	flap endonuclease 1, putative
PBANKA_1010600	2	calmodulin, putative
PBANKA_1012200	2	protein-L-isoaspartate(D-aspartate) O-methyltransferase, putative
PBANKA_1012400	2	RNA methyltransferase, putative
PBANKA_1012700	2	conserved Plasmodium protein, unknown function
PBANKA_1013900	2	PhIL1 interacting protein PIP3, putative
PBANKA_1014600	2	serine/threonine protein phosphatase 2A activator, putative
PBANKA_1018200	2	MORN repeat protein, putative
PBANKA_1024371	2	tRNA Proline
PBANKA_1024700	2	ubiquitin fusion degradation protein 1, putative
PBANKA_1026700	2	conserved Plasmodium protein, unknown function
PBANKA_1028400	2	60S ribosomal protein L10, putative
PBANKA_1029400	2	conserved Plasmodium protein, unknown function
PBANKA_1029500	2	conserved Plasmodium protein, unknown function
PBANKA_1029600	2	conserved Plasmodium protein, unknown function
PBANKA_1029700	2	ubiquitin-conjugating enzyme E2, putative
PBANKA_1030100	2	actin II
PBANKA_1030400	2	conserved Plasmodium protein, unknown function
PBANKA_1030600	2	p1/s1 nuclease, putative
PBANKA_1033100	2	conserved protein, unknown function
PBANKA_1034900	2	pre-mRNA-splicing factor 38B, putative
PBANKA_1035700	2	WD repeat-containing protein 65, putative
PBANKA_1037500	2	adenylyl cyclase alpha
PBANKA_1038600	2	conserved Plasmodium protein, unknown function
PBANKA_1038700	2	tetratricopeptide repeat protein, putative
PBANKA_1040500	2	PIR protein, pseudogene
PBANKA_1040521	2	fam-b protein
PBANKA_1040541	2	PIR protein
PBANKA_1100400	2	PIR protein
PBANKA_1102900	2	cell division control protein 6, putative
PBANKA_1104900	2	UDP-N-acetylglucosamine transporter, putative
PBANKA_1108300	2	pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative
PBANKA_1108800	2	leucine-rich repeat protein
PBANKA_1108900	2	conserved Plasmodium protein, unknown function
PBANKA_1110300	2	WD repeat-containing protein, putative
PBANKA_1117500	2	ribosomal protein L27a, putative
PBANKA_1118000	2	heptatricopeptide repeat-containing protein, putative
PBANKA_1119100	2	splicing factor 3A subunit 2, putative
PBANKA_1119300	2	ATP synthase-associated protein, putative
PBANKA_1119800	2	conserved Plasmodium protein, unknown function
PBANKA_1123400	2	anaphase-promoting complex subunit 11, putative
PBANKA_1123700	2	conserved Plasmodium protein, unknown function
PBANKA_1123800	2	GAS8-like protein, putative
PBANKA_1129600	2	TPH domain-containing protein, putative
PBANKA_1130300	2	reactive oxygen species modulator 1, putative
PBANKA_1133600	2	dynein light chain, putative
PBANKA_1137500	2	actin-depolymerizing factor 2
PBANKA_1141500	2	SNARE associated Golgi protein, putative
PBANKA_1142400	2	nucleoside diphosphate kinase b, putative
PBANKA_1145400	2	Plasmodium exported protein (PHIST), unknown function
PBANKA_1145721	2	tRNA Arginine
PBANKA_1145741	2	tRNA Arginine
PBANKA_1145800	2	membrane associated histidine-rich protein 1a
PBANKA_1146200	2	Plasmodium exported protein, unknown function
PBANKA_1146261	2	PIR protein
PBANKA_1146700	2	PIR protein
PBANKA_1200400	2	PIR protein
PBANKA_1202300	2	dynein attachment factor-domain containing protein, putative
PBANKA_1203100	2	ADP/ATP carrier protein, putative
PBANKA_1204200	2	IMP1-like protein, putative
PBANKA_1205300	2	roadblock/LC7 domain-containing protein, putative
PBANKA_1205400	2	rho GTPase-activating protein, putative
PBANKA_1206900	2	tubulin beta chain, putative
PBANKA_1208800	2	MORN repeat protein, putative
PBANKA_1208900	2	ankyrin-repeat protein, putative
PBANKA_1211800	2	conserved Plasmodium protein, unknown function
PBANKA_1217100	2	pseudo protein kinase 1, putative
PBANKA_1218500	2	protein phosphatase inhibitor 2, putative
PBANKA_1221200	2	60S ribosomal protein L34, putative
PBANKA_1223400	2	conserved Plasmodium protein, unknown function
PBANKA_1224200	2	DnaJ protein, putative
PBANKA_1224700	2	AAA family ATPase, putative
PBANKA_1224800	2	conserved protein, unknown function
PBANKA_1226470	2	C/D small nucleolar RNA
PBANKA_1228800	2	protein kinase, putative
PBANKA_1230200	2	cdc2-related protein kinase 5
PBANKA_1232200	2	FACT complex subunit SPT16
PBANKA_1239200	2	ribosome-interacting GTPase 1, putative
PBANKA_1239300	2	conserved Plasmodium protein, unknown function
PBANKA_1241800	2	DNA replication licensing factor MCM3, putative
PBANKA_1300100	2	PIR protein
PBANKA_1302700	2	OST-HTH associated domain protein, putative
PBANKA_1303800	2	triosephosphate isomerase, putative
PBANKA_1305000	2	conserved Plasmodium protein, unknown function
PBANKA_1308600	2	fructose-bisphosphate aldolase 2
PBANKA_1316400	2	U1 snRNP-associated protein, putative
PBANKA_1318900	2	methyltransferase, putative
PBANKA_1324300	2	inner membrane complex sub-compartment protein 3
PBANKA_1325000	2	40S ribosomal protein S28e, putative
PBANKA_1326100	2	conserved Plasmodium protein, unknown function
PBANKA_1330000	2	enkurin domain-containing protein, putative
PBANKA_1331000	2	conserved Plasmodium protein, unknown function
PBANKA_1331600	2	leucine-rich repeat protein
PBANKA_1333100	2	protein MGET, putative
PBANKA_1334400	2	inorganic anion antiporter, putative
PBANKA_1335200	2	pre-mRNA-splicing factor ISY1, putative
PBANKA_1336500	2	CKK domain-containing protein, putative
PBANKA_1338400	2	V-type proton ATPase subunit G, putative
PBANKA_1340400	2	lactate dehydrogenase, putative
PBANKA_1341400	2	conserved Plasmodium protein, unknown function
PBANKA_1342800	2	nicotinamide/nicotinic acid mononucleotide adenylyltransferase, putative
PBANKA_1344200	2	conserved Plasmodium protein, unknown function
PBANKA_1344300	2	chromatin assembly factor 1 subunit B, putative
PBANKA_1344800	2	conserved Plasmodium protein, unknown function
PBANKA_1349000	2	MSP7-like protein
PBANKA_1349100	2	MSP7-like protein
PBANKA_1349400	2	DNA replication complex GINS protein, putative
PBANKA_1350500	2	parasitophorous vacuolar protein 3
PBANKA_1352100	2	SprT-like domain-containing protein, putative
PBANKA_1352621	2	tRNA Methionine
PBANKA_1355000	2	V-type proton ATPase subunit D, putative
PBANKA_1360200	2	conserved Plasmodium protein, unknown function
PBANKA_1360600	2	leucine-rich repeat protein
PBANKA_1361500	2	WD repeat-containing protein 16, putative
PBANKA_1362500	2	peptidase, putative
PBANKA_1365700	2	PIR protein
PBANKA_1402400	2	Sld5 domain-containing protein, putative
PBANKA_1405900	2	conserved Plasmodium protein, unknown function
PBANKA_1408700	2	conserved Plasmodium protein, unknown function
PBANKA_1409500	2	protein ISD11, putative
PBANKA_1409600	2	meiosis-specific nuclear structural protein 1, putative
PBANKA_1413100	2	lipoate-protein ligase 1
PBANKA_1413300	2	ubiquitin-like protein, putative
PBANKA_1418400	2	ATP-dependent Clp protease adapter protein ClpS, putative
PBANKA_1429100	2	conserved Plasmodium protein, unknown function
PBANKA_1431400	2	conserved Plasmodium protein, unknown function
PBANKA_1431500	2	radial spoke head protein 9, putative
PBANKA_1438600	2	vacuolar iron transporter
PBANKA_1442300	2	conserved Plasmodium protein, unknown function
PBANKA_1448400	2	conserved protein, unknown function
PBANKA_1449000	2	microgamete surface protein MiGS, putative
PBANKA_1452400	2	ubiquitin-like modifier HUB1, putative
PBANKA_1457900	2	conserved protein, unknown function
PBANKA_1463900	2	HSP20-like chaperone, putative
PBANKA_1465600	2	PIR protein
PBANKA_1465821	2	PIR protein
PBANKA_1465921	2	PIR protein
PBANKA_1466100	2	PIR protein
PBANKA_0100200	3	Plasmodium exported protein, unknown function
PBANKA_0101100	3	liver merozoite formation protein
PBANKA_0101400	3	SAC3 domain-containing protein, putative
PBANKA_0102200	3	trophozoite exported protein 1, putative
PBANKA_0102900	3	AP2 domain transcription factor, putative
PBANKA_0103200	3	conserved protein, unknown function
PBANKA_0105100	3	conserved Plasmodium protein, unknown function
PBANKA_0105500	3	glutaredoxin-like protein
PBANKA_0105900	3	uroporphyrinogen III decarboxylase
PBANKA_0106900	3	heptatricopeptide repeat-containing protein, putative
PBANKA_0109700	3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin, putative
PBANKA_0109800	3	conserved protein, unknown function
PBANKA_0110100	3	conserved Plasmodium protein, unknown function
PBANKA_0110500	3	leucine-rich repeat protein
PBANKA_0110600	3	transmembrane protein 234, putative
PBANKA_0110700	3	conserved Plasmodium protein, unknown function
PBANKA_0110800	3	conserved Plasmodium protein, unknown function
PBANKA_0112600	3	fam-b protein
PBANKA_0112641	3	fam-b protein
PBANKA_0200700	3	fam-b protein
PBANKA_0201800	3	TatD-like deoxyribonuclease
PBANKA_0202600	3	conserved protein, unknown function
PBANKA_0204500	3	LCCL domain-containing protein, putative
PBANKA_0205600	3	double-strand break repair protein MRE11, putative
PBANKA_0206000	3	ATP synthase-associated protein, putative
PBANKA_0207200	3	V-type proton ATPase subunit C, putative
PBANKA_0207500	3	cyclin-dependent kinases regulatory subunit, putative
PBANKA_0208300	3	novel putative transporter 1
PBANKA_0208600	3	conserved protein, unknown function
PBANKA_0210500	3	conserved Plasmodium protein, unknown function
PBANKA_0210600	3	ubiquitin carboxyl-terminal hydrolase, putative
PBANKA_0211200	3	conserved protein, unknown function
PBANKA_0211700	3	conserved Plasmodium protein, unknown function
PBANKA_0212300	3	actin-like protein, putative
PBANKA_0212800	3	alpha/beta hydrolase, putative
PBANKA_0213600	3	N6-adenosine-methyltransferase MT-A70, putative
PBANKA_0213900	3	dynein light chain, putative
PBANKA_0214100	3	conserved protein, unknown function
PBANKA_0214200	3	tRNA pseudouridine synthase D, putative
PBANKA_0214800	3	heat shock protein, putative
