Geneid	groups	description
PBANKA_0300600	3	Plasmodium exported protein, unknown function
PBANKA_0301300	3	conserved Plasmodium protein, unknown function
PBANKA_0302900	3	MORN repeat protein, putative
PBANKA_0303300	3	conserved Plasmodium protein, unknown function
PBANKA_0305000	3	serine repeat antigen 2
PBANKA_0305100	3	serine repeat antigen 1
PBANKA_0315900	3	pseudouridine synthase, putative
PBANKA_0316000	3	replication factor C subunit 1, putative
PBANKA_0316800	3	erythrocyte membrane associated protein 2
PBANKA_0316861	3	PIR protein
PBANKA_0316921	3	fam-b protein, pseudogene
PBANKA_0317041	3	PIR protein
PBANKA_0400100	3	PIR protein
PBANKA_0400500	3	PIR protein
PBANKA_0404100	3	DNA-(apurinic or apyrimidinic site) lyase, putative
PBANKA_0404300	3	P-loop containing nucleoside triphosphate hydrolase, putative
PBANKA_0406300	3	DNA polymerase delta small subunit, putative
PBANKA_0409100	3	pre-mRNA splicing factor, putative
PBANKA_0411300	3	conserved Plasmodium protein, unknown function
PBANKA_0416600	3	replication protein A1, small fragment
PBANKA_0416700	3	bacterial histone-like protein, putative
PBANKA_0501300	3	DNA polymerase delta catalytic subunit, putative
PBANKA_0502400	3	conserved Plasmodium protein, unknown function
PBANKA_0507800	3	conserved protein, unknown function
PBANKA_0510600	3	cell division cycle protein 20 homolog
PBANKA_0517100	3	conserved protein, unknown function
PBANKA_0521200	3	conserved Plasmodium protein, unknown function
PBANKA_0522100	3	conserved Plasmodium protein, unknown function
PBANKA_0522700	3	alpha tubulin 2
PBANKA_0524400	3	tryptophan-rich protein
PBANKA_0600081	3	PIR protein
PBANKA_0600086	3	PIR protein
PBANKA_0600096	3	PIR protein, pseudogene
PBANKA_0600100	3	PIR protein
PBANKA_0600200	3	PIR protein
PBANKA_0600251	3	PIR protein, pseudogene
PBANKA_0600300	3	PIR protein
PBANKA_0600900	3	conserved protein, unknown function
PBANKA_0601200	3	dynein heavy chain, putative
PBANKA_0602900	3	conserved Plasmodium protein, unknown function
PBANKA_0604300	3	tetratricopeptide repeat protein, putative
PBANKA_0607900	3	cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative
PBANKA_0616100	3	prefoldin subunit 3, putative
PBANKA_0622000	3	conserved Plasmodium protein, unknown function
PBANKA_0700061	3	PIR protein
PBANKA_0700071	3	PIR protein
PBANKA_0701100	3	CRA domain-containing protein, putative
PBANKA_0705500	3	ankyrin-repeat protein, putative
PBANKA_0707200	3	alpha/beta hydrolase, putative
PBANKA_0712100	3	DNA helicase, putative
PBANKA_0712800	3	U4/U6.U5 small nuclear ribonucleoprotein, putative
PBANKA_0716500	3	RNA-binding protein, putative
PBANKA_0717300	3	cdc2-related protein kinase 3
PBANKA_0720000	3	conserved Plasmodium protein, unknown function
PBANKA_0720100	3	conserved Plasmodium protein, unknown function
PBANKA_0800100	3	PIR protein
PBANKA_0801500	3	conserved Plasmodium protein, unknown function
PBANKA_0803000	3	origin recognition complex subunit 2, putative
PBANKA_0805500	3	conserved Plasmodium protein, unknown function
PBANKA_0805600	3	EKC/KEOPS complex subunit BUD32, putative
PBANKA_0806800	3	coiled-coil domain-containing protein CCDC148/CCDC112, putative
PBANKA_0812000	3	DNA primase large subunit, putative
PBANKA_0812100	3	phosphatidylinositol N-acetylglucosaminyltransferase, putative
PBANKA_0813600	3	conserved Plasmodium protein, unknown function
PBANKA_0815500	3	conserved Plasmodium protein, unknown function
PBANKA_0818500	3	conserved protein, unknown function
PBANKA_0819900	3	nucleosome assembly protein
PBANKA_0820300	3	protein disulfide-isomerase PDI-Trans
PBANKA_0823500	3	glutamine synthetase, putative
PBANKA_0823600	3	pre-mRNA-splicing factor 18, putative
PBANKA_0824600	3	conserved protein, unknown function
PBANKA_0827100	3	protein kinase, putative
PBANKA_0828200	3	conserved Plasmodium protein, unknown function
PBANKA_0828900	3	conserved Plasmodium protein, unknown function
PBANKA_0829700	3	guanylate kinase, putative
PBANKA_0830300	3	CH domain-containing protein, putative
PBANKA_0830900	3	leucine-rich repeat protein
PBANKA_0835600	3	cAMP-dependent protein kinase catalytic subunit, putative
PBANKA_0836900	3	PIR protein
PBANKA_0837161	3	PIR protein
PBANKA_0902600	3	leucine-rich repeat protein
PBANKA_0903100	3	conserved Plasmodium protein, unknown function
PBANKA_0904800	3	conserved Plasmodium protein, unknown function
PBANKA_0907500	3	conserved Plasmodium protein, unknown function
PBANKA_0910900	3	sporozoite surface protein essential for liver stage development
PBANKA_0911000	3	calcium-binding protein, putative
PBANKA_0911600	3	ribosomal protein S9, mitochondrial, putative
PBANKA_0912400	3	conserved Plasmodium protein, unknown function
PBANKA_0913000	3	condensin-2 complex subunit D3, putative
PBANKA_0914700	3	FHA domain-containing protein, putative
PBANKA_0916100	3	nucleic acid binding protein, putative
PBANKA_0920800	3	CRAL/TRIO domain-containing protein, putative
PBANKA_0921300	3	deoxyuridine 5'-triphosphate nucleotidohydrolase, putative
PBANKA_0926700	3	exported protein 1
PBANKA_0932200	3	peptidyl-prolyl cis-trans isomerase, putative
PBANKA_0932400	3	berghepain-2
PBANKA_0932600	3	conserved protein, unknown function
