target	Time	emmean	SE	df	lower.CL	upper.CL
AP2-FG	9.23076923076923	6.63518751586924	0.272502747812579	237.040587948427	6.09835103154116	7.17202400019733
AP2-FG & AP2-O3	9.23076923076923	7.04241303707818	0.282598842659214	237.040587947997	6.48568702096953	7.59913905318684
AP2-O3	9.23076923076923	6.20766625208431	0.18475554056108	237.040587948073	5.84369372097735	6.57163878319126
AP2-O	9.23076923076923	6.45795652988838	0.100054162508808	264.04095878438	6.26095097546071	6.65496208431604
AP2-O & AP2-O4	9.23076923076923	8.88671304105335	0.43079634130981	264.040958784395	8.03847974483565	9.73494633727106
AP2-O4	9.23076923076923	5.66192493345976	0.587076454003464	264.040958784385	4.50597780030377	6.81787206661574
AP2-O	9.23076923076923	6.45795652988816	0.110262459456583	394.027815799522	6.24118022875821	6.6747328310181
AP2-O & AP2-O3	9.23076923076923	7.15572665589282	0.335698594304279	394.027815799286	6.49574228835331	7.81571102343233
AP2-O3	9.23076923076923	6.2076662520848	0.153718222566203	394.027815799106	5.90545580014679	6.50987670402282
