target	Time.trend	SE	df	lower.CL	upper.CL
AP2-FG	-0.0983328112566181	0.0137873579358297	237.035590271276	-0.125494216499806	-0.0711714060134299
AP2-FG & AP2-O3	-0.0968589636886305	0.014298172870795	237.035590270834	-0.125026685843111	-0.0686912415341497
AP2-O3	-0.0288281490886027	0.00934776177043558	237.035590270713	-0.0472434500291673	-0.010412848148038
AP2-O	0.135549312588298	0.00741514714972205	264.035792521247	0.120948967431525	0.150149657745071
AP2-O & AP2-O4	0.279555887437282	0.0319268902190155	264.035792521182	0.216692183242619	0.342419591631945
AP2-O4	0.0352513390761367	0.0435090173703633	264.035792521177	-0.0504174491775322	0.120920127329806
AP2-O	0.13554931258853	0.007038983808426	394.018609667017	0.121710649900757	0.149387975276303
AP2-O & AP2-O3	0.110287388711006	0.0214304758071242	394.018609666262	0.0681550107989745	0.152419766623037
AP2-O3	-0.0288281490886078	0.00981313209441996	394.018609666161	-0.0481207953939849	-0.00953550278323071
